"","100AR","100BA","100BR","101AA","101AR","102AA","102AR","102BA","102BR","103AA","103AR","103BA","103BR","104AA","104AR","104BA","104BR","105AA","105AR","105BR","106AA","106AR","107AA","107AR","108AA","108AR","108BA","55AR","55BA","55BR","56AA","56AR","56BA","56BR","57AA","57AR","58AA","58AR","59AR","60AA","60AR","60BA","60BR","61AA","61AR","61BA","61BR","62AR","62BA","62BR","63AA","63AR","63BA","63BR","64AA","64AR","64BA","64BR","65AA","65AR","65BA","65BR","66AR","66BA","66BR","67AA","67AR","67BA","67BR","68AA","68AR","68BA","68BR","69AA","69AR","69BA","69BR","70AA","70AR","70BA","70BR","71AA","71AR","71BA","71BR","72AA","72AR","72BA","72BR","91AA","91AR","91BA","91BR","92AA","92AR","92BA","92BR","93AA","93AR","94AR","94BA","94BR","95AR","95BA","95BR","96AA","96AR","96BA","96BR","97AA","97AR","99AA","99AR","99BA","99BR"
"Sequence_1",8,7,5,6,24,29,9,4,8,25,13,2,5,23,26,14,5,9,19,8,28,12,16,32,17,11,11,12,15,6,19,30,8,3,23,32,76,24,2,17,18,10,6,10,24,4,10,25,11,8,31,22,12,8,22,21,13,4,20,2,15,5,4,8,8,35,31,5,8,26,23,12,4,21,14,4,3,39,12,4,5,40,13,10,9,5,9,5,1,23,39,14,2,12,6,6,3,23,27,32,11,8,19,5,8,28,16,5,6,31,28,7,16,4,5
"Sequence_10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sequence_11",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Sequence_12",35,4,6,3,59,0,15,0,11,1,20,1,1,2,68,2,10,2,41,2,2,35,2,45,1,24,2,20,2,2,2,49,2,1,2,39,3,45,12,1,52,0,1,3,58,0,1,23,0,0,1,30,1,3,0,54,4,3,1,4,1,5,8,1,3,1,43,1,4,2,75,0,3,0,34,1,2,4,26,0,5,1,79,0,0,3,23,1,1,2,43,0,2,1,37,2,1,0,38,37,0,8,45,0,11,1,47,0,1,0,23,1,59,1,4
"Sequence_13",9,0,4,0,8,1,3,0,9,0,10,0,0,1,7,1,3,3,4,4,1,2,6,7,4,6,1,2,3,9,0,5,0,0,0,10,3,5,7,1,1,4,3,5,10,0,4,7,1,4,1,9,1,6,3,7,2,3,1,2,1,5,0,0,2,4,8,0,3,3,6,2,4,2,13,0,2,2,2,0,1,5,7,0,3,2,3,0,0,4,3,0,3,2,2,2,5,2,8,8,1,5,3,0,4,3,3,0,3,0,7,3,12,1,2
"Sequence_15",1,7,0,0,0,0,0,1,0,0,0,7,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,4,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,1,0,0,0,3,0,0,0,4,0,0,0,5,0,0,2,0,0,0,5,0,0,0,2,0,1,0,1,0,0,0,3,0,1,0,8,0,0,0,1,0,1,0,4,0,0,0,5,0,0,0,0,2,0,0,3,0,1,0,3,0,0,0,0,0,5,0
"Sequence_16",62,32,26,30,16,34,49,37,88,28,33,45,41,48,34,58,48,44,5,40,55,13,58,17,64,29,35,61,41,50,24,16,49,88,26,7,17,8,49,30,22,39,28,38,14,70,35,66,63,34,35,17,29,84,32,16,45,54,50,84,63,60,67,63,69,35,16,44,73,60,22,44,69,29,20,59,88,50,79,41,63,37,6,52,52,55,66,46,34,67,40,27,25,55,37,55,54,47,15,20,38,61,10,45,46,28,82,26,50,37,28,40,9,47,40
"Sequence_17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sequence_18",1,1,0,4,2,3,0,0,0,1,0,1,1,1,0,0,3,4,1,2,2,1,0,0,3,0,2,1,2,1,2,0,4,0,0,0,3,2,1,0,0,2,0,3,1,1,3,0,1,0,5,1,1,0,3,0,2,2,5,0,6,1,1,2,0,3,2,0,1,2,0,1,1,3,1,0,0,3,0,2,2,4,1,4,0,2,0,0,0,1,2,4,0,4,1,2,1,2,4,0,1,0,4,3,0,4,0,2,1,3,2,2,0,1,1
"Sequence_19",16,11,17,3,25,2,6,8,10,3,14,20,10,0,13,6,11,7,15,6,7,20,11,19,11,12,12,7,15,6,6,20,10,9,9,54,2,18,13,1,12,13,16,5,33,10,4,14,8,15,8,23,17,10,2,20,16,3,4,4,9,6,16,10,5,7,26,13,5,7,14,6,3,0,25,4,1,2,8,9,7,8,17,4,7,2,6,2,30,8,13,19,13,7,12,9,6,3,19,15,9,22,10,11,8,11,7,6,11,2,12,1,48,8,4
"Sequence_20",30,13,100,21,44,30,38,10,142,29,79,8,117,36,34,12,83,49,56,70,46,31,24,34,22,20,12,196,20,100,57,56,5,202,28,64,31,30,19,19,30,9,84,37,38,10,92,23,9,71,42,53,15,18,55,36,5,85,49,193,11,60,192,17,22,40,28,11,111,40,39,11,103,20,29,13,36,53,177,10,47,48,47,18,115,23,57,9,66,27,29,14,106,36,60,15,111,32,28,36,9,16,27,9,136,35,24,6,126,36,67,33,43,5,84
"Sequence_23",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Sequence_3",34,13,154,46,60,39,79,58,189,42,63,50,147,29,18,118,136,47,21,92,76,68,38,21,53,22,97,90,46,67,24,64,12,139,56,80,59,30,106,17,19,20,200,51,28,43,96,57,51,101,71,92,24,123,46,50,24,91,82,12,69,146,106,66,140,34,22,52,102,45,16,23,124,34,14,114,103,78,35,62,79,61,23,25,116,70,94,34,167,21,16,24,136,22,85,22,108,34,29,20,115,100,13,76,90,8,26,22,114,9,45,46,29,24,127
"Sequence_30",10,23,32,17,8,10,17,10,32,27,12,26,17,29,14,53,15,11,11,34,14,11,14,7,32,19,38,14,11,20,1,8,48,27,5,1,3,4,25,1,5,7,7,8,1,8,12,10,20,14,2,1,11,20,4,9,14,17,1,30,15,22,20,10,13,0,3,15,27,4,4,12,21,2,6,18,19,4,18,24,20,5,9,13,4,4,19,12,11,12,12,17,36,18,15,15,21,25,6,6,43,34,6,33,37,8,17,44,30,25,23,11,10,28,27
"Sequence_31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sequence_32",1,1,4,0,1,2,3,1,0,2,5,1,0,5,0,1,2,0,1,3,2,4,3,0,2,2,2,0,1,3,0,2,0,0,1,4,4,1,10,27,18,0,0,3,13,1,5,5,0,8,1,1,1,6,2,0,0,5,8,0,1,0,0,2,4,5,4,1,2,1,1,0,5,1,5,1,3,3,5,0,4,1,1,1,0,3,2,1,0,3,1,1,0,1,1,0,1,2,2,1,1,14,0,2,2,0,2,0,3,0,2,1,1,2,3
"Sequence_34",17,3,0,1,10,1,8,3,0,2,8,4,1,0,24,3,3,2,25,1,3,58,2,24,1,18,1,5,0,0,2,29,5,0,1,10,1,14,2,1,8,5,2,0,7,3,2,9,3,1,0,14,3,0,1,16,6,0,1,4,0,1,1,3,0,0,10,1,3,1,21,2,3,1,17,3,0,0,0,0,2,0,25,4,0,1,5,1,0,0,17,3,1,3,7,3,1,3,16,7,1,1,34,2,0,0,13,3,0,3,7,2,4,6,2
"Sequence_35",21,0,13,6,15,4,10,3,5,10,15,4,3,3,8,1,11,5,22,6,1,19,2,21,7,16,8,11,6,7,9,16,0,2,4,19,4,21,15,2,18,2,7,8,8,4,3,7,2,3,1,20,2,6,4,13,2,10,2,2,5,12,6,2,10,5,19,0,7,5,25,4,7,9,19,10,10,2,8,1,11,10,33,1,1,4,11,1,1,3,11,7,5,5,14,3,8,1,13,9,1,8,21,5,3,2,18,2,7,5,7,2,18,3,6
"Sequence_36",0,0,0,1,0,1,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sequence_37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sequence_38",0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,38,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,4,10,0,0,1,0,0,0,0,0,4,0
"Sequence_39",79,98,24,113,49,160,25,27,49,170,30,65,52,80,71,19,20,94,62,39,108,48,82,42,148,85,70,71,61,23,136,61,42,60,103,45,133,67,51,123,52,52,44,122,54,36,29,46,35,42,116,35,31,39,144,54,36,24,60,30,52,38,72,26,39,102,106,52,35,111,72,40,36,171,63,43,30,156,48,30,23,139,56,22,48,127,46,47,32,145,90,27,42,112,78,26,29,108,98,60,12,21,82,29,40,149,120,35,37,127,46,153,48,98,21
"Sequence_4",0,37,69,0,0,0,43,29,16,0,44,22,11,0,0,39,45,0,0,23,0,0,11,0,0,0,22,3,44,89,0,0,48,4,3,1,0,0,62,0,0,48,20,1,1,41,29,0,50,9,0,0,31,87,0,0,69,53,0,3,20,41,10,49,54,0,0,29,49,0,0,34,24,0,0,19,31,0,2,29,62,0,0,47,2,0,9,45,3,0,0,45,38,0,13,56,24,1,0,0,22,85,0,43,25,0,0,43,19,0,18,0,0,17,13
"Sequence_40",6,7,5,25,10,10,9,4,3,15,5,2,4,29,8,3,5,30,10,7,18,6,10,7,24,8,3,6,10,6,25,2,4,0,12,2,11,10,4,14,3,8,4,13,4,9,2,5,6,3,13,2,12,3,19,4,4,2,10,0,3,14,1,5,0,8,5,3,4,16,3,7,3,15,5,5,8,15,3,2,2,16,6,12,10,24,0,9,4,27,9,6,0,23,1,14,2,16,5,5,2,2,9,5,14,29,5,4,8,41,3,21,6,6,1
"Sequence_41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sequence_42",60,12,13,43,47,49,27,15,35,28,23,16,67,37,38,9,14,29,30,22,19,38,25,36,51,60,19,39,16,7,34,46,12,31,27,27,37,45,14,37,37,8,60,33,38,20,16,37,10,50,26,23,8,7,41,35,15,14,33,111,22,34,31,11,21,20,44,14,24,30,49,17,43,33,45,7,12,13,62,9,13,28,98,6,69,24,39,27,58,45,48,11,27,53,60,22,40,36,31,34,6,10,47,11,39,33,36,10,43,49,33,40,45,15,34
"Sequence_44",0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
