"","100AR","100BA","100BR","101AA","101AR","102AA","102AR","102BA","102BR","103AA","103AR","103BA","103BR","104AA","104AR","104BA","104BR","105AA","105AR","105BR","106AA","106AR","107AA","107AR","108AA","108AR","108BA","55AR","55BA","55BR","56AA","56AR","56BA","56BR","57AA","57AR","58AA","58AR","59AR","60AA","60AR","60BA","60BR","61AA","61AR","61BA","61BR","62AR","62BA","62BR","63AA","63AR","63BA","63BR","64AA","64AR","64BA","64BR","65AA","65AR","65BA","65BR","66AR","66BA","66BR","67AA","67AR","67BA","67BR","68AA","68AR","68BA","68BR","69AA","69AR","69BA","69BR","70AA","70AR","70BA","70BR","71AA","71AR","71BA","71BR","72AA","72AR","72BA","72BR","91AA","91AR","91BA","91BR","92AA","92AR","92BA","92BR","93AA","93AR","94AR","94BA","94BR","95AR","95BA","95BR","96AA","96AR","96BA","96BR","97AA","97AR","99AA","99AR","99BA","99BR"
"Sequence_1",106,303,77,183,178,481,148,51,258,1114,375,283,182,499,1383,284,103,545,477,137,1450,263,1241,369,698,139,232,368,581,331,643,1788,142,259,1076,442,2120,1058,141,288,843,81,28,476,829,211,149,715,274,247,1828,1181,250,230,1315,1111,483,147,759,43,352,115,246,620,230,974,586,344,305,1389,841,372,376,295,434,224,201,1420,347,136,447,1280,220,355,611,348,286,228,129,548,1122,174,35,750,780,186,70,910,720,569,326,159,181,229,228,1562,518,155,162,843,1361,261,167,205,586
"Sequence_10",0,0,4,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,11,4,0,3,1,6,0,3,0,1,0,0,1,5,1,0,0,2,1,12,1,0,1,0,5,0,3,0,64,3,0,1,0,4,0,0,1,11,0,10,0,0,0,2,0,0,0,1,2,0,0,1,14,0,1,1,12,0,0,1,1,0,1,0,2,0,5,3,4,0,0,0,7,0,0,2,18,1,0,0,10,1,2,0,4,3,0,0,5,0,0,0,14,0,1,0,7
"Sequence_11",0,0,0,4,0,2,0,4,0,2,0,11,1,2,4,4,0,2,1,0,8,0,5,0,3,0,3,0,0,0,1,1,0,0,2,0,1,1,0,1,0,0,224,10,1,4,0,0,7,0,3,1,0,0,5,0,1,0,3,0,5,0,0,2,0,3,0,0,0,6,1,4,0,2,0,4,0,3,3,4,0,10,1,2,0,6,0,3,0,0,1,4,0,6,574,1,0,1,0,0,3,0,4,2,0,1,3,1,0,2,0,4,0,2,0
"Sequence_12",466,38,141,18,695,29,335,4,369,41,1017,31,49,39,2482,14,165,94,771,52,117,509,98,771,47,243,28,796,42,386,74,3198,31,65,101,699,59,1604,361,18,1643,8,10,63,2449,35,93,991,25,45,99,1468,25,144,50,3401,79,78,24,108,39,143,254,58,78,70,943,26,147,111,2922,31,271,14,1162,55,106,105,1161,20,401,80,1271,24,35,72,668,34,80,26,1903,19,29,62,2031,36,53,33,1110,890,26,170,487,55,343,73,1346,33,58,15,1046,31,897,38,725
"Sequence_13",72,27,78,9,86,49,94,13,140,24,258,61,33,59,255,35,72,92,89,66,232,88,114,128,120,62,37,85,43,410,28,393,34,46,90,228,73,275,126,25,174,15,16,105,390,7,200,213,26,67,108,297,15,156,137,425,41,79,111,31,48,141,39,48,89,113,190,40,191,143,323,42,283,19,242,24,173,145,120,19,217,279,123,18,73,112,131,37,17,47,138,15,13,84,198,35,86,46,228,214,53,144,48,29,200,140,134,14,55,33,354,75,181,61,262
"Sequence_15",2,206,0,3,0,2,0,19,0,5,0,266,2,7,0,40,0,1,0,0,13,0,66,0,6,0,57,0,133,0,1,0,357,0,73,0,1,0,0,1,0,43,2,7,0,93,0,0,61,0,9,0,90,0,14,0,116,0,4,0,120,0,0,101,0,5,0,200,0,8,0,123,0,1,0,73,0,11,0,141,0,7,0,187,0,21,0,72,0,3,0,54,0,15,0,167,0,5,0,0,183,0,0,209,0,1,0,258,1,3,0,2,0,215,1
"Sequence_16",892,1001,617,786,244,631,823,326,3249,1495,1245,2266,1636,1898,1148,1275,703,1862,188,977,3494,270,2972,219,2423,387,1030,2550,1451,2754,927,1148,1967,3294,1805,79,689,431,1186,483,690,526,286,1312,501,1478,1106,2528,1803,1921,2103,543,916,2092,2743,1186,1783,1043,1738,1462,2046,1388,2489,3448,2615,825,267,1593,2861,1792,962,1828,5465,342,488,2168,4944,1562,3688,1024,5272,1396,148,1628,2772,1629,2737,1943,1645,1412,1299,775,353,2524,2554,1720,1016,1298,326,383,1753,1589,101,1651,2049,1743,2518,938,1732,1042,1165,836,155,2026,3920
"Sequence_17",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0
"Sequence_18",8,46,25,93,7,35,9,9,16,131,5,98,24,117,34,22,31,230,26,27,243,7,252,15,107,0,49,33,37,22,67,31,96,19,129,2,73,19,23,24,28,21,9,164,27,43,67,18,30,54,234,11,62,33,177,97,47,18,94,0,52,28,14,49,23,108,23,71,28,101,27,43,46,34,12,39,44,117,5,65,60,112,8,74,17,178,30,23,11,38,64,65,11,183,84,84,11,148,24,4,119,25,11,119,13,114,24,70,13,75,25,77,3,80,77
"Sequence_19",132,373,257,74,299,65,91,84,528,101,378,754,562,110,688,92,213,214,260,101,303,223,470,298,301,191,341,355,435,266,126,1178,409,443,472,724,98,688,282,77,294,118,135,90,1205,239,210,415,124,405,395,963,429,357,136,1292,717,50,269,69,324,80,406,527,157,287,403,441,299,244,651,305,368,25,615,182,225,119,246,240,575,199,239,74,153,104,338,222,863,109,405,459,194,242,839,307,109,115,444,433,319,441,181,529,323,228,264,377,407,32,740,40,701,373,698
