"","ID_Matrix","Dose","Microbiome","Subtrate","Fraction","Rep","Depth"
"100AR","100AR","No_Glyphosate","SynCom","Agar","Root","Rep1",13112
"100BA","100BA","No_Glyphosate","SynCom","Agar","Agar","Rep2",28667
"100BR","100BR","No_Glyphosate","SynCom","Agar","Root","Rep2",17230
"101AA","101AA","No_Glyphosate","SynCom","Agar","Agar","Rep1",24997
"101AR","101AR","No_Glyphosate","SynCom","Agar","Root","Rep1",11564
"102AA","102AA","No_Glyphosate","SynCom","Agar","Agar","Rep1",20149
"102AR","102AR","No_Glyphosate","SynCom","Agar","Root","Rep1",17021
"102BA","102BA","No_Glyphosate","SynCom","Agar","Agar","Rep2",9216
"102BR","102BR","No_Glyphosate","SynCom","Agar","Root","Rep2",37794
"103AA","103AA","No_Glyphosate","SynCom","Agar","Agar","Rep1",46109
"103AR","103AR","No_Glyphosate","SynCom","Agar","Root","Rep1",40251
"103BA","103BA","No_Glyphosate","SynCom","Agar","Agar","Rep2",54326
"103BR","103BR","No_Glyphosate","SynCom","Agar","Root","Rep2",35525
"104AA","104AA","No_Glyphosate","SynCom","Agar","Agar","Rep1",36670
"104AR","104AR","No_Glyphosate","SynCom","Agar","Root","Rep1",47738
"104BA","104BA","No_Glyphosate","SynCom","Agar","Agar","Rep2",20043
"104BR","104BR","No_Glyphosate","SynCom","Agar","Root","Rep2",16025
"105AA","105AA","No_Glyphosate","SynCom","Agar","Agar","Rep1",39638
"105AR","105AR","No_Glyphosate","SynCom","Agar","Root","Rep1",21476
"105BR","105BR","No_Glyphosate","SynCom","Agar","Root","Rep2",20986
"106AA","106AA","No_Glyphosate","SynCom","Agar","Agar","Rep1",61616
"106AR","106AR","No_Glyphosate","SynCom","Agar","Root","Rep1",13143
"107AA","107AA","No_Glyphosate","SynCom","Agar","Agar","Rep1",58049
"107AR","107AR","No_Glyphosate","SynCom","Agar","Root","Rep1",15142
"108AA","108AA","No_Glyphosate","SynCom","Agar","Agar","Rep1",35202
"108AR","108AR","No_Glyphosate","SynCom","Agar","Root","Rep1",11029
"108BA","108BA","No_Glyphosate","SynCom","Agar","Agar","Rep2",25672
"55AR","55AR","Low_Dose","SynCom","Agar","Root","Rep1",39299
"55BA","55BA","Low_Dose","SynCom","Agar","Agar","Rep2",37073
"55BR","55BR","Low_Dose","SynCom","Agar","Root","Rep2",54839
"56AA","56AA","Low_Dose","SynCom","Agar","Agar","Rep1",31910
"56AR","56AR","Low_Dose","SynCom","Agar","Root","Rep1",66524
"56BA","56BA","Low_Dose","SynCom","Agar","Agar","Rep2",35871
"56BR","56BR","Low_Dose","SynCom","Agar","Root","Rep2",45233
"57AA","57AA","Low_Dose","SynCom","Agar","Agar","Rep1",60703
"57AR","57AR","Low_Dose","SynCom","Agar","Root","Rep1",15149
"58AA","58AA","Low_Dose","SynCom","Agar","Agar","Rep1",29775
"58AR","58AR","Low_Dose","SynCom","Agar","Root","Rep1",39896
"59AR","59AR","Low_Dose","SynCom","Agar","Root","Rep1",21910
"60AA","60AA","Low_Dose","SynCom","Agar","Agar","Rep1",14928
"60AR","60AR","Low_Dose","SynCom","Agar","Root","Rep1",34867
"60BA","60BA","Low_Dose","SynCom","Agar","Agar","Rep2",11472
"60BR","60BR","Low_Dose","SynCom","Agar","Root","Rep2",8710
"61AA","61AA","Low_Dose","SynCom","Agar","Agar","Rep1",32008
"61AR","61AR","Low_Dose","SynCom","Agar","Root","Rep1",39058
"61BA","61BA","Low_Dose","SynCom","Agar","Agar","Rep2",25971
"61BR","61BR","Low_Dose","SynCom","Agar","Root","Rep2",26738
"62AR","62AR","Low_Dose","SynCom","Agar","Root","Rep1",33682
"62BA","62BA","Low_Dose","SynCom","Agar","Agar","Rep2",26108
"62BR","62BR","Low_Dose","SynCom","Agar","Root","Rep2",43206
"63AA","63AA","Low_Dose","SynCom","Agar","Agar","Rep1",60671
"63AR","63AR","Low_Dose","SynCom","Agar","Root","Rep1",41723
"63BA","63BA","Low_Dose","SynCom","Agar","Agar","Rep2",25751
"63BR","63BR","Low_Dose","SynCom","Agar","Root","Rep2",29257
"64AA","64AA","Low_Dose","SynCom","Agar","Agar","Rep1",53884
"64AR","64AR","Low_Dose","SynCom","Agar","Root","Rep1",60369
"64BA","64BA","Low_Dose","SynCom","Agar","Agar","Rep2",38249
"64BR","64BR","Low_Dose","SynCom","Agar","Root","Rep2",22863
"65AA","65AA","Low_Dose","SynCom","Agar","Agar","Rep1",41690
"65AR","65AR","Low_Dose","SynCom","Agar","Root","Rep1",16484
"65BA","65BA","Low_Dose","SynCom","Agar","Agar","Rep2",32181
"65BR","65BR","Low_Dose","SynCom","Agar","Root","Rep2",24300
"66AR","66AR","Low_Dose","SynCom","Agar","Root","Rep1",35185
"66BA","66BA","Low_Dose","SynCom","Agar","Agar","Rep2",55338
"66BR","66BR","Low_Dose","SynCom","Agar","Root","Rep2",35063
"67AA","67AA","Low_Dose","SynCom","Agar","Agar","Rep1",28071
"67AR","67AR","Low_Dose","SynCom","Agar","Root","Rep1",21518
"67BA","67BA","Low_Dose","SynCom","Agar","Agar","Rep2",39086
"67BR","67BR","Low_Dose","SynCom","Agar","Root","Rep2",45938
"68AA","68AA","Low_Dose","SynCom","Agar","Agar","Rep1",38690
"68AR","68AR","Low_Dose","SynCom","Agar","Root","Rep1",40027
"68BA","68BA","Low_Dose","SynCom","Agar","Agar","Rep2",38669
"68BR","68BR","Low_Dose","SynCom","Agar","Root","Rep2",78294
"69AA","69AA","Low_Dose","SynCom","Agar","Agar","Rep1",13301
"69AR","69AR","Low_Dose","SynCom","Agar","Root","Rep1",23508
"69BA","69BA","Low_Dose","SynCom","Agar","Agar","Rep2",37747
"69BR","69BR","Low_Dose","SynCom","Agar","Root","Rep2",57525
"70AA","70AA","Low_Dose","SynCom","Agar","Agar","Rep1",39086
"70AR","70AR","Low_Dose","SynCom","Agar","Root","Rep1",45353
"70BA","70BA","Low_Dose","SynCom","Agar","Agar","Rep2",27872
"70BR","70BR","Low_Dose","SynCom","Agar","Root","Rep2",85705
"71AA","71AA","Low_Dose","SynCom","Agar","Agar","Rep1",34422
